,abstract
0,"['\xadهمه', '\xadگیری', 'کووید-', 'عنوان', 'یکی', 'بحران\xadهای', 'اخیر', 'جهان', 'هزینه\xadهایی', 'کشورها', 'وارد', 'کرده', 'توجه', 'محققان', 'سیاستمداران', 'ارزیابی', 'شوک', 'خارجی', 'مفهوم', 'آسیب', 'پذیری', 'قالب', 'شاخص', 'هشداردهنده', 'موردتوجه', 'قرار', 'داده_است', 'درنتیجه', 'هدف', 'اصلی', 'پژوهش', 'تأثیر', 'پاندمی', 'کووید-', 'آسیب\xadپذیری', 'کشورها', 'سطوح', 'درآمدی', 'بالا', 'متوسط', 'پایین', 'است', 'کشور', 'استفاده', 'مدل', 'رگرسیون', 'انتقال', 'ملایم', 'پانلی', 'بازه', 'زمانی', 'صورت', 'گرفته_است', 'راستا', 'محاسبه', 'شاخص', 'آسیب\xadپذیری\xad', 'روش', 'بریگوگلیو', 'استفاده', 'شده_است', 'نتایج', 'نشان\xadدهنده', 'رابطه', 'غیرخطی', 'بین', 'متغیرهای', 'پژوهش', 'است', 'همچنین', 'درنظرگرفتن', 'یک', 'تابع', 'انتقال', 'یک', 'پارامتر', 'آستانه\xadای', 'بیانگر', 'یک', 'مدل', 'دو', 'رژیمی', 'است', 'تصریح', 'رابطه', 'غیر\xadخطی', 'بین', 'متغیرهای', 'الگو', 'سه', 'گروه', 'کشورهای', 'درآمد', 'بالا', 'متوسط', 'پایین', 'کافی', 'است', 'پارامتر', 'شیب', 'سه', 'گروه', 'کشور', 'ترتیب', 'برابر', 'است', 'نتایج', 'برآورد', 'مدل', 'حاکی', 'است', 'دو', 'رژیم', 'خطی', 'غیر\xadخطی', '\xadکووید-', 'تأثیر', 'مثبت', 'معنی\xadدار', 'گروه', 'کشورهای', 'درآمد', 'بالا', 'متوسط', 'پایین', 'دارد', 'بدین\xad', 'معنی', 'افزایش', 'پاندمی', 'کووید-', 'منجر', 'افزایش', 'آسیبپذیری', 'کشورها', 'می\xadشود', 'بنابراین', 'کشورها', 'با\xadیستی', 'اجرای', 'سیاستهای', 'محکم', 'تدابیر', 'مؤثر', 'مانند', 'تنوع', 'سرمایه', 'گذاری', 'زیر', 'ساخت\xadهای', 'بهداشتی', 'توسعه', 'برنامه', 'حمایتی', 'حفظ', 'تجارت', 'بین', 'المللی', 'تاب\xadآوری', 'مقابل', 'آسیب\xadپذیری', 'ناشی', 'پاندمی', 'کووید', 'بلایای', 'طبیعی', 'ارتقا', 'پایداری', 'خود', 'بپردازند']"
1,"['پژوهش', 'تخمین', 'سهم', 'عوامل', 'مختلف', 'موثر', 'سوءتخصیص', 'سرمایه\xadی', 'فیزیکی', 'پرداخته', 'می\xadشود', 'بدین', 'منظور', 'یک', 'مدل', 'تعادل', 'عمومی', 'استفاده', 'می\xadشود', 'عواملی', 'هم\xadچون', 'هزینه\xadی', 'تعدیل', 'سرمایه', 'نااطمینانی', 'سطح', 'بنگاه', 'ناهمگنی', 'قدرت', 'بازار', 'توابع', 'تولید', 'بنگاه\xadها', 'وجود', 'دارند', 'تخمین', 'پارامترهای', 'مدل', 'روش', 'گشتاورهای', 'تعمیم', 'یافته', 'می\xadتوان', 'سهم', 'کدام', 'عوامل', 'سوءتخصیص', 'محاسبه', 'کرد', 'پژوهش', 'داده\xadی', 'تابلویی', 'کارگاه\xadهای', 'صنعتی', 'آخرین', 'بازه\xadی', 'دسترس', 'محاسبه\xadی', 'گشتاورها', 'تخمین', 'پارامترهای', 'مدل', 'استفاده', 'شده_است', 'نتایج', 'نشان', 'می\xadدهد', 'می\xadتوان', 'بیش', 'درصد', 'سوءتخصیص', 'مشاهده', 'شده', 'سه', 'عامل', 'هزینه\xadهای', 'تعدیل', 'ناهمگنی', 'تابع', 'تولید', 'ناهمگنی', 'قدرت', 'بازار', 'بنگاه\xadها', 'نسبت', 'داد', 'مقایسه', 'مطالعات', 'مشابه', 'نقش', 'هزینه\xadهای', 'تعدیل', 'به\xadطور', 'قابل', 'توجهی', 'بیش\xadتر', 'کشورها', 'است', 'هم\xadچنین', 'نشان', 'داده', 'می\xadشود', 'سوءتخصیص', 'طی', 'بازه', 'ی', 'زمانی', 'مورد', 'مطالعه', 'افزایش', 'یافته', 'امر', 'ناشی', 'افزایش', 'نقش', 'اختلال\xadها', 'بوده_است']"
2,"['رابطه', 'میان', 'رشد', 'انتشار', 'دی', 'اکسید', 'کربن', 'مصرف', 'انرژی', 'همواره', 'یکی', 'چالش', 'اصلی', 'کشورهای', 'جهان', 'محسوب', 'می', 'شود', 'هدف', 'انجام', 'پژوهش', 'همبستگی', 'رشد', 'کیفیت', 'محیط', 'زیست', 'مصرف', 'انرژی', 'کشورهای', 'آسیایی', 'نظر', 'گرفتن', 'تأثیر', 'پذیری', 'کشورها', 'یکدیگر', 'است', 'همبستگی', 'دوره', 'زمانی', 'قالب', 'الگوی', 'معادلات', 'همزمان', 'فضایی', 'پانل', 'SPSEM', 'روش', 'حداقل', 'مربعات', 'دو', 'مرحله', 'ای', 'تعمیم', 'یافته', 'فضایی', 'GS', 'SLS', 'برآورد', 'می', 'شود', 'همبستگی', 'فضایی', 'رشد', 'مصرف', 'انرژی', 'انتشار', 'دی', 'اکسید', 'کربن', 'تأیید', 'می', 'شود', 'ضمن', 'اینکه', 'محیط', 'زیست', 'فضایی', 'همیستگی', 'قوی', 'تری', 'نسبت', 'دو', 'سری', 'دیگر', 'دارد', 'همچنین', 'نتایج', 'ارتباط', 'رشد', 'محیط', 'زیست', 'رشد', 'مصرف', 'انرژی', 'مصرف', 'انرژی', 'محیط', 'زیست', 'تأیید', 'می', 'کند', 'ثبات', 'سیاسی', 'اصلاح', 'ساختار', 'نامطلوب', 'شهرها', 'افزایش', 'کارایی', 'انرژی', 'منجر', 'بهبود', 'کیفیت', 'محیط', 'زیست', 'کشورها', 'می', 'گردد', 'اتخاذ', 'سیاست', 'کارآمد', 'مورد', 'مسایل', 'مربوط', 'تغییرات', 'آب', 'هوایی', 'سیاستگذاران', 'باید', 'سرریز', 'فضایی', 'کشورها', 'نظر', 'بگیرند', 'نتایج', 'تجربی', 'جدید', 'سیاست', 'گذاران', 'طراحی', 'سیاست', 'زیست', 'محیطی', 'انرژی', 'مناسب', 'تحقق', 'اهداف', 'کشورهای', 'آسیایی', 'توسعه', 'پایداری', 'کمک', 'می', 'کند']"
3,"['کنترل', 'مدیریت', 'نشده', 'رشد', 'نقدینگی', 'دلیل', 'پیامدهای', 'منفی', 'همواره', 'مورد', 'توجه', 'سیاست\xadگذاران', 'بوده_است', 'هدف', 'مقاله', 'حاضر', 'مکانیسم', 'اثر\xadگذاری', 'اجزای', 'منابع', 'نقدینگی', 'متغیرهای', 'کلان', 'است', 'تغییرات', 'نقدینگی', 'منابع', 'مختلفی', 'دارد', 'ناشی', 'تغییر', 'عرضه', 'دارایی\xadهای', 'متفاوتی', 'است', 'اجزای', 'مختلف', 'منابع', 'نقدینگی', 'تشکیل', 'می\xadدهند', 'می\xadتوانند', 'متفاوتی', 'عملکرد', 'متغیرهای', 'کلان', 'داشته_باشند', 'منظور', 'یک', 'الگوی', 'کلان', 'لحاظ', 'کردن', 'اجزای', 'منابع', 'نقدینگی', 'شامل', 'خالص', 'دارایی\xadهای', 'خارجی', 'بانک', 'مرکزی', 'خالص', 'دارایی\xadهای', 'خارجی', 'بانک\xadها', 'مؤسسات', 'اعتباری', 'غیر\xadبانکی', 'خالص', 'بدهی', 'بخش', 'دولتی', 'بانک', 'مرکزی', 'خالص', 'بدهی', 'بخش', 'دولتی', 'بانک\xadها', 'مؤسسات', 'اعتباری', 'غیر', 'بانکی', 'بدهی', 'بخش', 'غیر\xadدولتی', 'بانک\xadها', 'مؤسسات', 'اعتباری', 'طراحی', 'شده_است', 'روابط', 'متغیرهای', 'چارچوب', 'یک', 'مدل', 'تعادل', 'عمومی', 'پویای', 'تصادفی', 'ارائه', 'می\xadدهد', 'الگوی', 'مورد', 'نظر', 'براساس', 'اطلاعات', 'طی', 'دوره', 'زمانی', 'شبیه\xadسازی', 'شده_است', 'واکنش', 'متغیرهای', 'کلان', 'ازای', 'رشدهای', 'یکسان', 'نقدینگی', 'براساس', 'توابع', 'عکس\xadالعمل', 'آنی', 'نشان', 'می\xadدهد', 'اجزای', 'مختلف', 'منابع', 'نقدینگی', 'متفاوتی', 'متغیرهای', 'کلان', 'دارند', 'نتایج', 'حامل', 'پیام', 'سیاستی', 'است', 'علاوه', 'مدیریت', 'نقدینگی', 'توجه', 'تحولات', 'اجزای', 'منابع', 'نقدینگی', 'اهمیت', 'بسیاری', 'حوزه', 'سیاست\xadگذاری', 'پولی', 'برخوردار', 'است']"
4,"['جهان', 'امروز', 'دلیل', 'فعالیت\xadهای', 'گسترده', 'مخرب', 'بشر', 'جهت', 'دستیابی', 'منابع', 'بیشتر', 'زمین', 'بحران', 'تغییرات', 'اقلیمی', 'روبه\xadرو', 'است', 'افزایش', 'سطح', 'آب', 'دریاها', 'اقیانوس\xadها', 'گرمایش', 'زمین', 'سیل', 'خشکسالی', 'رانش', 'زمین', 'می\xadتواند', 'حیات', 'بشر', 'تهدید', 'مواجه', 'کند', 'بین', 'بخش\xadهای', 'مختلف', 'بخش', 'کشاورزی', 'دلیل', 'تأمین', 'غذای', 'بشر', 'دارای', 'اهمیتی', 'به\xadمراتب', 'بیشتر', 'است', 'طرف', 'دیگر', 'تغییرات', 'اقلیمی', 'بخش', 'کشاورزی', 'تهدید', 'جدی', 'تأمین', 'غذای', 'انسان', 'مواجه', 'کرده_است', 'درنتیجه', 'هدف', 'اصلی', 'پژوهش', 'حاضر', 'تأثیر', 'دو', 'متغیر', 'اقلیمی', 'شامل', 'ریسک', 'تغییر', 'اقلیم', 'شاخص', 'عملکرد', 'تغییر', 'اقلیم', 'ارزش', 'افزوده', 'بخش', 'کشاورزی', 'کشور', 'عضو', 'شاخص', 'عملکرد', 'تغییر', 'اقلیم', 'تفکیک', 'سه', 'گروه', 'عملکرد', 'قوی', 'کشور', 'عملکرد', 'متوسط', 'کشور', 'عملکرد', 'ضعیف', 'کشور', 'طی', 'دوره', 'زمانی', 'استفاده', 'روش', 'رگرسیون', 'چندکی', 'داده\xadهای', 'تابلویی', 'است', 'نتایج', 'پژوهش', 'نشان', 'می\xadدهد', 'دو', 'متغیر', 'شاخص', 'عملکرد', 'تغییر', 'اقلیم', 'ریسک', 'تغییرات', 'اقلیمی', 'دارای', 'تأثیر', 'مثبت', 'معنی\xadدار', 'ارزش', 'افزوده', 'بخش', 'کشاورزی', 'سه', 'گروه', 'عملکردی', 'تمامی', 'دهک\xadها', 'است', 'تأثیر', 'مثبت', 'نشان', 'می\xadدهد', 'بهبود', 'شرایط', 'اقلیمی', 'به\xadتبع', 'کاهش', 'تأثیرات', 'مخرب', 'زیست\xadمحیطی', 'ارزش', 'افزوده', 'بخش', 'کشاورزی', 'کشورهای', 'موردنظر', 'افزایش', 'یافته_است']"
5,"['یکی', 'ابزار', 'مهم', 'موئر', 'توسعه', 'کشور', 'نظام', 'بانکی', 'کارآمد', 'است', 'بانک', 'بخش', 'اصلی', 'فعالیت', 'مالی', 'هستند', 'یکی', 'ویژگی', 'مهم', 'بانک', 'موسسات', 'مالی', 'سود', 'آوری', 'بازدهی', 'هاست', 'بازار', 'سرمایه', 'بازار', 'پول', 'می', 'بایست', 'اندیشه', 'ایجاد', 'راهکارهایی', 'خلق', 'ابزار', 'مختلف', 'تأمین', 'مالی', 'پشتیبانی', 'تولید', 'سرمایه', 'گذاری', 'اشتغال', 'باشند', 'بازارهای', 'مالی', 'اسلامی', 'صکوک', 'مهمترین', 'اوراق', 'بهادار', 'مالی', 'اسلامی', 'است', 'صکوک', 'به\xad', 'گونه\xadای', 'طراحی', 'شده_است', 'قوانین', 'اسلامی', 'سازگار', 'باشد', 'ویژگی\xad', 'صکوک', 'تبدیل', 'یک', 'منبع', 'مهم', 'تأمین', 'سرمایه', 'ناشران', 'بیرو', 'جهان', 'اسلام', 'کرده_است', 'به\xad', 'دنبال', 'دستیابی', 'نقدینگی', 'ارائه', 'شده', 'توسط', 'سرمایه', '\xadگذاران', 'اسلامی', 'می\xad', 'باشند', 'صکوک', 'پرتفوی', 'سرمایه\xad', 'گذاران', 'تنوع', 'می\xadبخشد', 'فرصت\xadهای', 'سرمایه', '\xadگذاری', 'دارایی', 'جدید', 'ارائه', 'می\xadدهد', 'طرفی', 'ناشران', 'می\xad', 'توانند', 'نقدینگی', 'فزآینده', 'حاصل', 'تقاضای', 'حال', 'رشد', 'میان', 'شمار', 'زیادی', 'سرمایه\xad', 'گذاران', 'نهادی', 'فردی', 'ابزارهای', 'سرمایه', '\xadگذاری', 'سازگار', 'شریعت', 'منتفع', 'گردند', 'هدف', 'اصلی', 'پژوهش', 'مقایسه\xadای', 'توسعه', 'بازار', 'صکوک', 'سودآوری', 'بانک\xadها', 'بانک\xadهای', 'اسلامی', 'متعارف', 'است', 'دستیابی', 'هدف', 'فوق', 'اطلاعات', 'کشور', 'حوزه', 'خلیج', 'فارس', 'بازه', 'زمانی', 'مورد', 'قرار', 'گرفت', 'آزمون', 'فرضیه', 'پژوهش', 'روش', 'رگرسیون', 'چندمتغیره', 'روش', 'داده', 'ترکیبی', 'استفاده', 'شده_است', 'نتایج', 'حاصل', 'پژوهش', 'نشان', 'داد', 'توسعه', 'ی', 'بازار', 'صکوک', 'سودآوری', 'بانک', 'اسلامی', 'افزایش', 'می\xadدهد', 'همچنین', 'نتایج', 'نشان', 'داد', 'توسعه', 'ی', 'بازار', 'صکوک', 'تاثیری', 'سودآوری', 'بانک\xadهای', 'متعارف', 'ندارد', 'علاوه', 'نتایج', 'نشان', 'داد', 'بحران', 'کووید', 'توسعه', 'بازار', 'صکوک', 'سودآوری', 'بانک\xadهای', 'اسلامی', 'متعارف', 'تعدیل', 'نمی', 'کند']"
6,"['سال', 'اخیر', 'آسیب', 'پذیری', 'برابر', 'تغییرات', 'اقلیمی', 'یک', 'موضوع', 'مهم', 'سیاست', 'گذاران', 'تبدیل', 'شده_است', 'وضعیت', 'اضطراری', 'نیاز', 'اقدامات', 'فوری', 'گسترده', 'همه', 'جانبه', 'دارد', 'مقاله', 'دنبال', 'ایجاد', 'پلی', 'بین', 'مداخلات', 'سیاست', 'گذاری', 'اقلیمی', 'حوزه', 'علوم', 'رفتاری', 'عنوان', 'یک', 'مسیر', 'عملی', 'کم', 'هزینه', 'اثربخشی', 'بالا', 'قالب', 'نظریه', 'تلنگر', 'است', 'دراین', 'راستا', 'می', 'شود', 'چگونه', 'مداخلات', 'رفتاری', 'ریشه', 'سوگیری', 'هایی', 'نظیر', 'سوگیری', 'زیان', 'گریزی', 'تنزیل', 'هذلولی', 'قالب', 'بندی', 'دارد', 'باعث', 'می', 'شود', 'افراد', 'انتخاب', 'سازگارتر', 'محیط', 'زیست', 'مسئله', 'تغییرات', 'اقلیمی', 'ترغیب', 'شوند', 'بسیاری', 'تحقیقات', 'نشان', 'داده_اند', 'قالب', 'بندی', 'ادغام', 'دیگر', 'سوگیری', 'شناختی', 'گسترده_ای', 'مطالعه', 'رفتار', 'محیط', 'زیستی', 'عنوان', 'یک', 'سیاست', 'کم', 'هزینه', 'استفاده', 'شده_است', 'مقاله', 'یک', 'روش', 'نیمه', 'آزمایشی', 'نشانداده', 'می', 'شود', 'چگونه', 'قالب', 'بندی', 'اطلاعات', 'قالب', 'بندی', 'انتفاع', 'ضرر', 'سوگیری', 'تنزیل', 'هذلولی', 'همچنین', 'قالب', 'بندی', 'اطلاعات', 'گسترده', 'پیوسته', 'نگرش', 'درک', 'کلی', 'افراد', 'تغییرات', 'اقلیمی', 'می', 'گذارد', 'نتایج', 'نشان', 'می', 'دهد', 'شدت', 'درک', 'تغییرات', 'اقلیمی', 'تمایل', 'تغییر', 'رفتار', 'تحت', 'قالب', 'هایی', 'بیان', 'گر', 'زیان', 'زمان', 'حال', 'هستند', 'قابل', 'توجهی', 'بیشتر', 'قالب', 'انتفاع', 'آینده', 'بوده_است', 'علاوه', 'قالب', 'اطلاعات', 'گسترده', 'پیوسته', 'چشم', 'گیری', 'متغیرهای', 'بینشی', 'رفتاری', 'افراد', 'داشته_است', 'اساس', 'یافته', 'پژوهش', 'سیاست', 'گذاران', 'حوزه', 'تغییرات', 'اقلیمی', 'می', 'توانند', 'اطلاعات', 'قالب', 'هایی', 'تداعی', 'کننده', 'زیان', 'زمان', 'حال', 'است', 'همچنین', 'قالب', 'اطلاعات', 'گسترده', 'پیوسته', 'ارتقای', 'نگرش', 'تمایل', 'عمومی', 'مشارکت', 'مقابله', 'تغییرات', 'اقلیمی', 'استفاده', 'کنند']"
7,"['تحریم¬های', 'ایجاد', 'مانع', 'بخش', 'خارجی', 'فضای', 'نابسامان', 'آشفته', 'موجب', 'تغییر', 'نرخ', 'ارز', 'درپی', 'تغییر', 'متغیرهای', 'دیگر', 'جمله', 'عرضه', 'تقاضای', 'مسکن', 'می¬شوند', 'این¬رو', 'هدف', 'پژوهش', 'اثرگذاری', 'تحریم¬های', 'عرضه', 'تقاضای', 'مسکن', 'کانال', 'نرخ', 'ارز', 'می¬باشد', 'منظور', 'داده¬های', 'فصلی', 'استانی', 'دوره', 'تجزیه', 'داده¬ها', 'مدل', 'رگرسیون', 'ظاهر', 'نامرتبط', 'SUR', 'استفاده', 'شده_است', 'یافته¬های', 'پژوهش', 'نشان', 'می¬دهد', 'تولید', 'ناخالص', 'داخلی', 'استانی', 'قیمت', 'مسکن', 'تورم', 'تقاضا', 'مثبت', 'داشته¬اند', 'متغیرهای', 'شاخص', 'بورس', 'نرخ', 'ارز', 'تحریم', 'تقاضای', 'مسکن', 'منفی', 'داشته-اند', 'طرف', 'عرضه', 'متغیرهای', 'قیمت', 'مسکن', 'تعدادپروانه¬های', 'ساختمانی', 'صادرشده', 'تورم', 'عرضه', 'مسکن', 'مثبت', 'نرخ', 'ارز', 'تحریم', 'قیمت', 'مصالح', 'ساختمانی', 'برعرضه', 'مسکن', 'منفی', 'داشته¬اند', 'واردات', 'تحریم', 'نرخ', 'ارز', 'افزایش', 'صادرات', 'نرخ', 'ارز', 'کاهش', 'داده_است', 'پایه', 'تحریم', 'مستقیم', 'مسیر', 'نرخ', 'ارز', 'غیر', 'مستقیم', 'کاهش', 'عرضه', 'تقاضای', 'مسکن', 'داشته_است']"
8,"['هدف', 'اصلی', 'مطالعه', 'وابستگی', 'ساختاری', 'بین', 'بازدهی', 'بازارهای', 'رمزارز', 'شاخص', 'بورس', 'اوراق', 'بهادار', 'تهران', 'استفاده', 'داده\xadهای', 'روزانه', 'طی', 'دوره', 'آگوست', 'فوریه', 'است', 'مطالعه', 'روش', 'تجزیه', 'حالت', 'متغیر', 'VMD', 'انواع', 'مختلف', 'توابع', 'کاپولای', 'متقارن', 'نامتقارن', 'ساختار', 'وابستگی', 'بین', 'بازارهای', 'رمزارز', 'شاخص', 'بورس', 'افق', 'متفاوت', 'سرمایه', 'گذاری', 'ترکیب', 'می', 'کند', 'مدل\xadسازی', 'توزیع', 'حاشیه', 'ای', 'الگوهای', 'FIGARCH-GED', 'استفاده', 'شده_است', 'نتایج', 'مطالعه', 'حاکی', 'است', 'بین', 'بازدهی', 'رمزارز', 'بیت', 'کوین', 'شاخص', 'بورس', 'استفاده', 'تابع', 'کاپولای', 'ارشمیدسی', 'هیچگونه', 'وابستگی', 'ساختاری', 'چه', 'کوتاه', 'مدت', 'چه', 'بلندمدت', 'وجود', 'ندارد', 'نتیجه', 'بیانگر', 'است', 'بازار', 'رمزارزها', 'طبقه', 'اصلی', 'دارایی', 'مالی', 'جدا', 'شده_اند', 'مزایای', 'متنوعی', 'سرمایه', 'گذاران', 'ارائه', 'می', 'دهند', 'همچنین', 'توابع', 'CVine-Copula', 'ادبیات', 'مالی', 'یکی', 'کاراترین', 'روش', 'ساختار', 'وابستگی', 'می', 'باشد', 'استفاده', 'شده_است', 'وابستگی', 'ساختاری', 'استفاده', 'توابع', 'کاپولای', 'واین', 'نسبت', 'توابع', 'کاپولای', 'ارشمیدسی', 'توانایی', 'بهتری', 'شناسایی', 'وابستگی', 'ساختاری', 'بین', 'بازدهی', 'رمزارزها', 'شاخص', 'بورس', 'دارد', 'اساس', 'یافته', 'تحقیق', 'بین', 'بازدهی', 'رمزارز', 'بیت', 'کوین', 'شاخص', 'سهام', 'شرط', 'رشد', 'قیمت', 'رمزارز', 'اتریوم', 'کاپولای', 'کلایتون', 'عنوان', 'مدل', 'مناسب', 'توضیح', 'دهنده', 'ی', 'همبستگی', 'انتخاب', 'شده_است', 'بیانگر', 'نامتقارن', 'بوده', 'وابستگی', 'بیشتری', 'دنباله', 'چپ', 'وجود', 'دارد', 'یافته', 'مطالعه', 'نشان', 'دهنده', 'نقش', 'مهم', 'رمزارزها', 'سبد', 'سرمایه', 'گذاران', 'است', 'زیرا', 'عنوان', 'یک', 'گزینه', 'متنوع', 'سرمایه', 'گذاران', 'عمل', 'می', 'کنند', 'یک', 'طبقه', 'دارایی', 'سرمایه', 'گذاری', 'جدید', 'هستند']"
9,"['سال', 'اخیر', 'رشد', 'روزافزون', 'جمعیت', 'افزایش', 'استفاده', 'حمل', 'ونقل', 'شخصی', 'سفرهای', 'روزانه', 'مشکلات', 'فراوانی', 'حوزه', 'جابجایی', 'جمله', 'مصرف', 'بالای', 'سوخت', 'آلودگی', 'هوا', 'سر', 'صدا', 'تراکم', 'بالای', 'خیابان', 'کاهش', 'فعالیت', 'بدنی', 'غیره', 'وجود', 'آورده_است', 'بسیاری', 'کلانشهرها', 'طی', 'دهه', 'گذشته', 'افزایش', 'ناگهانی', 'وسایل', 'نقلیه', 'موتوری', 'موجب', 'ترافیک', 'سنگین', 'خیابانی', 'سفرهای', 'درون', 'شهری', 'شده_است', 'علت', 'اصلی', 'می', 'توان', 'ضعف', 'روابط', 'بین', 'مورفولوژی', 'شهری', 'حمل', 'ونقل', 'عبارت', 'دیگر', 'شکل', 'شهری', 'پیاده', 'گریز', 'تشویق', 'کننده', 'سفرهای', 'موتوری', 'دانست', 'آنجایی', 'مورفولوژی', 'شهری', 'قابل', 'توجهی', 'حمل', 'ونقل', 'شهری', 'دارد', 'نحوه', 'ایجاد', 'یک', 'رابطه', 'قوی', 'بین', 'مورفولوژی', 'شهری', 'حالت', 'سفر', 'علاقه', 'بسیاری', 'خود', 'جلب', 'کرده_است', 'نظر', 'گرفتن', 'ضرورت', 'پژوهش', 'حاضر', 'مورفولوژی', 'شهری', 'تقاضای', 'حمل', 'ونقل', 'شهری', 'شهر', 'اصفهان', 'ارائه', 'خواهد_شد', 'پژوهش', 'استفاده', 'نرم', 'افزار', 'Eviews', 'مدل', 'رگرسیون', 'خطی', 'چند', 'متغیره', 'روش', 'حداقل', 'مربعات', 'وزنی', 'متغیرهای', 'مورفولوژی', 'شهری', 'متغیر', 'تقاضای', 'سفر', 'شهری', 'مورد', 'قرار', 'گرفت', 'نتایج', 'پژوهش', 'نشان', 'می', 'دهد', 'چه', 'نواحی', 'میانگین', 'عرض', 'معابر', 'افزایش', 'می', 'یابد', 'ساکنان', 'نواحی', 'کمتر', 'حمل', 'ونقل', 'عمومی', 'بیشتر', 'حمل', 'ونقل', 'شخصی', 'جهت', 'سفرهای', 'روزانه', 'خود', 'استفاده', 'خواهند_کرد', 'همچنین', 'یافته', 'پژوهش', 'نشان', 'می', 'دهد', 'افزایش', 'شاخص', 'اتصال', 'سفرهای', 'حمل', 'ونقل', 'شخصی', 'افزایش', 'می', 'یابد', 'افزایش', 'تراکم', 'کلی', 'مسکونی', 'کاهش', 'پراکندگی', 'ساکنان', 'نواحی', 'ترجیح', 'می', 'دهند', 'وسایل', 'نقلیه', 'عمومی', 'استفاده', 'کنند']"
