,keywords
0,"['همه گیری', ' کووید- ۱۹ ', ' آسیب پذیری اقتصادی', ' مدل انتقال ملایم پانلی', ' سطوح درآمدی']"
1,"['اقتصاد ایران', ' سوءتخصیص', ' سرمایه ی فیزیکی', ' کارگاه های صنعتی']"
2,"['رشد اقتصادی', ' انتشار دی اکسید کربن', ' مصرف انرژی', ' معادلات همزمان', ' الگوی فضایی']"
3,"['الگوی تعادل عمومی پویای تصادفی', ' سیاست های پولی', ' مکانیسم انتقال پولی', ' منابع نقدینگی']"
4,"['ارزش افزوده بخش کشاورزی', ' ریسک تغییرات اقلیم', ' شاخص عملکرد تغییر اقلیم', ' روش رگرسیون چندکی']"
5,"['کلیدواژه ها: بازار مالی', ' بحران مالی', ' نظام بانکی']"
6,"['تغییرات اقلیمی', ' اقتصاد رفتاری', ' سوگیری شناختی', ' تلنگر', ' سوگیری تنزیل هذلولی', ' سوگیری زیان گریزی', ' اثر قالب بندی']"
7,"['تحریم های اقتصادی', ' عرضه مسکن', ' تقاضای مسکن', ' نرخ ارز', ' ایران']"
8,"['بازار رمزارزها', ' تجزیه مود متغیر', ' توابع کاپولا', ' شاخص سهام', ' وابستگی ساختاری']"
9,"['حالت های سفر', ' شبکه معابر', ' شهر اصفهان', ' مورفولوژی شهری']"
10,"['امنیت انرژی', ' بلایای طبیعی', ' حداقل مربعات کاملا اصلاح شده']"
11,"['اقتصاد رفتاری', ' اقتصاد مسکن', ' قیمت مسکن', ' تورم']"
12,"['نابرابری درآمدی', ' ضریب جینی', ' اشتغال در بخش خدمات', ' توزیع ناعادلانه', ' استان های ایران']"
13,"['تجارت بین المللی', ' مناطق اقتصادی', ' نظریه وابستگی به منابع', ' نظریه شبکه پیچیده']"
14,"['رشد واردات – تولید', ' رشد صادرات - تولید', ' علیت غیرخطی', ' رویکرد غیرخطی MS-VAR']"
15,"['اقتصاد ایران', ' تأمین اجتماعی', ' تکافل', ' روش گشتاورهای تعمیم یافته', ' نابرابری اقتصادی']"
16,"['اقتصاد شهری', ' جرم و جنایت', ' بیکاری', ' اقتصادسنجی فضایی', ' ایران']"
17,"['نسبت چشم پوشی', ' بدهی دولت', ' هدف گذاری تورم', ' شفافیت سیاست های پولی', ' مدل رگرسیون انتقال ملایم']"
18,"['آلودگی هوا', ' الگوی رشد درون زا', ' رویکرد بیزین', ' کارایی انرژی']"
19,"['حساسیت اضافی مصرف', ' شمول مالی', ' محدودیت نقدینگی', ' هموارسازی مصرف']"
20,"['جمهوری اسلامی ایران', ' فقر', ' مکانیسم تعامل']"
21,"['بحران ارزی', ' سیستم هشدار زودهنگام', ' الگوی پروبیت']"
22,"['الگوهای خودتوزیع با وقفه های گسترده خطی (ARDL) و غیر خطی (NARDL) ', ' نفرین منابع مالی', ' توسعه مالی', ' رانت منابع']"
23,"['شاخص پیشرفت اجتماعی', ' تولید ناخالص داخلی سرانه', ' درون زایی', ' سیستم معادلات همزمان', ' روش حداقل مربعات سه مرحله ای (۳ SLS)']"
24,"['ارزیابی سیاست', ' مشوقهای مالیاتی', ' تحقیق و توسعه', ' مدلهای رگرسیون کسری', ' سیاست مالی']"
25,"['سرمایه گذاری مستقیم خارجی', ' پنل دیتا', ' جرم']"
26,"['پویایی های قیمت نفت', ' سیاست مالی', ' متغیرهای کلان اقتصادی', ' همدوسی موجک جزئی']"
27,"['فناوری اطلاعات و ارتباطات (ICT) ', ' ردپای اکولوژیکی سرانه', ' تولید ناخالص داخلی سرانه', ' شاخص پیچیدگی اقتصادی', ' روش گشتاورهای تعمیم یافته']"
28,"['صنعت گردشگری', ' ریسک سیاسی', ' نرح ارز', ' نرخ تورم', ' QARDL', ' NARDL']"
29,"['TVP-VAR', ' نوسانات تصادفی', ' تولیدناخالص داخلی واقعی غیرنفتی', ' ردپای بوم شناختی']"
30,"['پیچیدگی اقتصادی', ' ردپای اکولوژیکی', ' رشد اقتصادی', ' کشورهای اوپک', ' روش گشتاورهای تعمیم یافته']"
31,"['توسعۀ پایدار', ' پویایی شناسی سیستم ها']"
32,"['تجارت خارجی', ' نرخ ارز', ' رشد اقتصادی', ' تورم']"
33,"['ارز دیجیتال ملی', ' پویایی سیستم', ' سیاست های پولی']"
34,"['مالیات محلی', ' عوارض شهروندی', ' اندازۀ بهینۀ شهر', ' کلان شهرهای ایران']"
35,"['مدل سازی اقتصادی', ' بازار برق', ' شبکه تبادل برق', ' یکپارچگی منطقه ای', ' ایران و همسایگان غربی']"
36,"[': جهانی شدن', ' فساد', ' مدل انتقال ملایم آستانه ای پانلی', ' کشورهای عضو سازمان کنفرانس اسلامی']"
37,"['تابع واکنش بانک مرکزی', ' سیاست ارزی ایران', ' سیاست ارزی ترکیه', ' سیاست ارزی مکزیک']"
38,"['پیش بینی', ' عرضه نیروی کار', ' تقاضای نیروی کار', ' نرخ مشارکت', ' جمعیت']"
39,"['کارآفرینی', ' اشتغال', ' اثرات فضایی', ' استان های ایران']"
40,"['گردشگری', ' آسیب پذیری اقتصادی', ' کشورهای درحال توسعه', ' PSTR']"
41,"['پیچیدگی اقتصادی', ' مصرف انرژی تجدیدپذیر', ' انتشار دی اکسید کربن', ' آلودگی زیست محیطی', ' کشورهای در حال توسعه']"
42,"['صادرات', ' مقررات زیست محیطی', ' حاکمیت قانون', ' کیفیت مقررات', ' کشورهای در حال توسعه', ' کالاهای مدیریت کننده آلودگی']"
43,"['شوک های قیمت نفت', ' نرخ یافتن شغل', ' نرخ ورود به بیکاری']"
44,"['تنوع شرکای تجاری', ' خودرگرسیون برداری ساختاری (SVAR) ', ' اقتصاد ایران', ' نظریه لوکوموتیو']"
