title,abstract,keywords,issue_vol,issue_no,url
تأثیر کووید-19 بر آسیب‌پذیری اقتصادی کشورها با سطوح درآمدی مختلف: رویکرد رگرسیون انتقال ملایم پانلی,"
­همه ­گیری کووید-19 به‌عنوان یکی از بحران­های اخیر جهان، هزینه­هایی را به اقتصاد کشورها وارد کرده که توجه محققان و سیاستمداران را برای ارزیابی این شوک خارجی به مفهوم آسیب‌پذیری اقتصادی در قالب شاخص هشداردهنده موردتوجه قرار داده است. درنتیجه، هدف اصلی این پژوهش، بررسی تأثیر پاندمی کووید-19 بر آسیب­پذیری اقتصادی کشورها با سطوح درآمدی بالا، متوسط و پایین است. این بررسی برای 150 کشور و با استفاده از مدل رگرسیون انتقال ملایم پانلی در بازه زمانی 2021-2020 صورت‌گرفته است. در این راستا، برای محاسبه شاخص آسیب­پذیری­ اقتصادی از روش بریگوگلیو استفاده شده است. نتایج نشان­دهنده رابطه غیرخطی بین متغیرهای پژوهش است. همچنین با درنظرگرفتن یک تابع انتقال با یک پارامتر آستانه­ای که بیانگر یک مدل دو رژیمی است و برای تصریح رابطه غیر­خطی بین متغیرهای الگو برای سه گروه کشورهای با درآمد بالا، متوسط و پایین کافی است. پارامتر شیب برای سه گروه کشور به ترتیب برابر 9876/5، 1569/6 و 9987/3 است. نتایج برآورد مدل حاکی از آن است که در هر دو رژیم خطی و غیر­خطی، ­کووید-19 ‌تأثیر مثبت و معنی­دار در گروه کشورهای با درآمد بالا، متوسط و پایین دارد. بدین­ معنی که افزایش در پاندمی کووید-19 منجر به افزایش آسیب‏پذیری اقتصادی کشورها می­شود؛ بنابراین؛ کشورها با­یستی با اجرای  سیاست‏های محکم و تدابیر مؤثر مانند: تنوع در اقتصاد، سرمایه‌گذاری در زیر ساخت­های بهداشتی، توسعه برنامه حمایتی، حفظ تجارت بین‌المللی و تاب­آوری اقتصادی در مقابل آسیب­پذیری اقتصادی ناشی از پاندمی کووید - 19 و بلایای طبیعی به ارتقا و پایداری خود بپردازند.
","همه‌گیری, کووید-19, آسیب‌پذیری اقتصادی, مدل انتقال ملایم پانلی, سطوح درآمدی",مقالات آماده انتشار,مقالات آماده انتشار,https://ecor.modares.ac.ir/article-18-70497-fa.html
تخمین سهم عوامل موثر بر سوءتخصیص سرمایه: شواهدی از کارگاه‌های صنعتی در اقتصاد ایران,"
در این پژوهش به تخمین سهم عوامل مختلف موثر بر سوءتخصیص سرمایه­ی فیزیکی در اقتصاد ایران پرداخته می­شود. بدین منظور از یک مدل تعادل عمومی استفاده می­شود که در آن عواملی هم­چون هزینه­ی تعدیل سرمایه، نااطمینانی (در سطح بنگاه)  و ناهمگنی در قدرت بازار و توابع تولید بنگاه­ها وجود دارند. با تخمین پارامترهای مدل به روش گشتاورهای تعمیم‌یافته، می­توان سهم هر کدام از این عوامل در سوءتخصیص را محاسبه کرد. در این پژوهش از داده­ی تابلویی کارگاه­های صنعتی ایران در آخرین بازه­ی در دسترس، 1382 تا 1392، برای محاسبه­ی گشتاورها و تخمین پارامترهای مدل استفاده شده است. نتایج نشان می­دهد می­توان تا  بیش از 80 درصد سوءتخصیص مشاهده شده در اقتصاد ایران، را  به سه عامل هزینه­های تعدیل، ناهمگنی در تابع تولید و ناهمگنی در قدرت بازار بنگاه­ها نسبت داد. در مقایسه با مطالعات مشابه، نقش هزینه­های تعدیل در ایران به­طور قابل‌توجهی بیش­تر از سایر کشورها است. هم­چنین نشان داده می­شود سوءتخصیص طی بازه‌ی زمانی مورد مطالعه افزایش یافته و این امر ناشی از افزایش نقش اختلال­ها در اقتصاد بوده است
","اقتصاد ایران, سوءتخصیص, سرمایه‌ی فیزیکی, کارگاه‌های صنعتی",مقالات آماده انتشار,مقالات آماده انتشار,https://ecor.modares.ac.ir/article-18-70168-fa.html
همبستگی اقتصاد، انرژی و محیط زیست(3E) در کشورهای منتخب آسیایی: کاربردی از الگوی معادلات همزمان فضایی پانل,"
بررسی رابطه میان رشد اقتصادی، انتشار دی اکسید کربن و مصرف انرژی همواره یکی از چالش های اصلی کشورهای جهان محسوب می شود. هدف از انجام این پژوهش بررسی همبستگی رشد اقتصادی، کیفیت محیط زیست و مصرف انرژی در کشورهای آسیایی با در نظر گرفتن تأثیر پذیری کشورها از یکدیگر است. این همبستگی در دوره زمانی 2018-2002 در قالب الگوی معادلات همزمان فضایی پانل(SPSEM) با روش حداقل مربعات دو مرحله ای تعمیم یافته فضایی(GS2SLS) برآورد می شود.  همبستگی فضایی رشد اقتصادی، مصرف انرژی و انتشار دی اکسید کربن تأیید می شود، ضمن اینکه محیط زیست به طور فضایی همیستگی قوی تری نسبت به دو سری دیگر دارد. همچنین نتایج؛ ارتباط رشد اقتصادی و محیط زیست، رشد اقتصادی و مصرف انرژی و نیز مصرف انرژی و محیط زیست را تأیید می کند. ثبات سیاسی، اصلاح ساختار نامطلوب شهرها و افزایش کارایی انرژی منجر به بهبود کیفیت محیط زیست کشورها می گردد. برای اتخاذ سیاست های کارآمد در مورد مسایل مربوط به تغییرات آب و هوایی، سیاستگذاران باید اثرات سرریز فضایی کشورها را در نظر بگیرند. این نتایج تجربی جدید به سیاست گذاران در طراحی سیاست های زیست محیطی و انرژی مناسب برای تحقق اهداف کشورهای آسیایی برای توسعه اقتصادی و پایداری کمک می کند
","رشد اقتصادی, انتشار دی اکسید کربن, مصرف انرژی, معادلات همزمان, الگوی فضایی",مقالات آماده انتشار,مقالات آماده انتشار,https://ecor.modares.ac.ir/article-18-70198-fa.html
بررسی نحوه اثرگذاری اجزای منابع نقدینگی در اقتصاد ایران: رهیافت DSGE,"
کنترل مدیریت نشده رشد نقدینگی به دلیل پیامدهای منفی آن، همواره مورد توجه سیاست­گذاران بوده است. هدف مقاله حاضر تحلیل و بررسی مکانیسم اثر­گذاری اجزای منابع نقدینگی بر متغیرهای کلان اقتصادی ایران است. تغییرات نقدینگی منابع مختلفی دارد و ناشی از تغییر در عرضه دارایی­های متفاوتی است که اجزای مختلف منابع نقدینگی را تشکیل می­دهند و می­توانند اثرات متفاوتی بر عملکرد متغیرهای کلان اقتصادی داشته باشند. به این منظور یک الگوی اقتصاد کلان با لحاظ کردن اجزای منابع نقدینگی شامل خالص دارایی­های خارجی بانک مرکزی، خالص دارایی­های خارجی بانک­ها و مؤسسات اعتباری غیر­بانکی، خالص بدهی بخش دولتی به بانک مرکزی، خالص بدهی بخش دولتی به بانک­ها و مؤسسات اعتباری غیر بانکی و بدهی بخش غیر­دولتی به بانک­ها و مؤسسات اعتباری طراحی شده است که روابط متغیرهای اقتصادی را در چارچوب یک مدل تعادل عمومی پویای تصادفی ارائه می­دهد. الگوی مورد نظر براساس اطلاعات اقتصاد ایران طی دوره زمانی 1399-1379 شبیه­سازی شده است. واکنش متغیرهای کلان اقتصادی به ازای رشدهای یکسان نقدینگی براساس توابع عکس­العمل آنی، نشان می­دهد اجزای مختلف منابع نقدینگی اثرات متفاوتی بر متغیرهای کلان اقتصادی دارند. این نتایج حامل این پیام سیاستی است که علاوه بر مدیریت نقدینگی، توجه به تحولات اجزای منابع نقدینگی نیز از اهمیت بسیاری در حوزه سیاست­گذاری پولی برخوردار است.
","الگوی تعادل عمومی پویای تصادفی, سیاست‌های پولی, مکانیسم انتقال پولی, منابع نقدینگی",مقالات آماده انتشار,مقالات آماده انتشار,https://ecor.modares.ac.ir/article-18-70572-fa.html
ریسک تغییرات اقلیمی، عملکرد تغییر اقلیم و ارزش‌افزوده بخش کشاورزی,"
جهان امروز به دلیل فعالیت­های گسترده و مخرب بشر جهت دستیابی به منابع بیشتر زمین با بحران تغییرات اقلیمی روبه­رو است. افزایش سطح آب دریاها و اقیانوس­ها، گرمایش زمین، سیل، خشکسالی و رانش زمین می­تواند حیات بشر را با تهدید مواجه کند. در بین بخش­های مختلف اقتصادی، بخش کشاورزی به دلیل تأمین غذای بشر دارای اهمیتی به­مراتب بیشتر است. از طرف دیگر، تغییرات اقلیمی بخش کشاورزی را با تهدید جدی در تأمین غذای انسان مواجه کرده است. درنتیجه، هدف اصلی پژوهش حاضر بررسی تأثیر دو متغیر اقلیمی شامل ریسک تغییر اقلیم و شاخص عملکرد تغییر اقلیم بر ارزش‌افزوده بخش کشاورزی در 54 کشور عضو شاخص عملکرد تغییر اقلیم و به تفکیک سه گروه با عملکرد قوی (16 کشور)، عملکرد متوسط (28 کشور) و عملکرد ضعیف (10 کشور) طی دوره زمانی 2010 تا 2020 و با استفاده روش رگرسیون چندکی در داده­های تابلویی است. نتایج این پژوهش نشان می­دهد که هر دو متغیر شاخص عملکرد تغییر اقلیم و ریسک تغییرات اقلیمی دارای تأثیر مثبت و معنی­دار بر ارزش‌افزوده بخش کشاورزی در هر سه گروه عملکردی و در تمامی دهک­ها است. این تأثیر مثبت نشان می­دهد که با بهبود شرایط اقلیمی و به­تبع آن کاهش تأثیرات مخرب زیست­محیطی، ارزش‌افزوده بخش کشاورزی در کشورهای موردنظر افزایش یافته است
","ارزش‌افزوده بخش کشاورزی, ریسک تغییرات اقلیم, شاخص عملکرد تغییر اقلیم, روش رگرسیون چندکی",مقالات آماده انتشار,مقالات آماده انتشار,https://ecor.modares.ac.ir/article-18-71211-fa.html
تحلیل مقایسه‌ای تاثیر توسعه بازار صکوک بر سودآوری بانک-ها در بانک‌های اسلامی و متعارف,"
یکی از ابزار های مهم و موئر در توسعه اقتصادی کشور، نظام بانکی کارآمد است. بانک ها، از بخش های اصلی در فعالیت های مالی هستند.  یکی از ویژگی های مهم بانک ها و موسسات مالی، سود آوری و بازدهی آن هاست. هم بازار سرمایه و هم بازار پول می بایست در اندیشه ایجاد راهکارهایی برای خلق ابزار های مختلف تأمین مالی برای پشتیبانی از تولید، سرمایه گذاری و اشتغال باشند. در بازارهای مالی اسلامی، صکوک مهمترین اوراق بهادار مالی اسلامی است. صکوک به­ گونه­ای طراحی شده است که با قوانین اسلامی سازگار باشد. این ویژگی­ صکوک آن را تبدیل به یک منبع مهم برای تأمین سرمایه برای ناشران بیرو  از جهان اسلام کرده است که به­ دنبال دستیابی به نقدینگی ارائه شده توسط سرمایه ­گذاران اسلامی می­ باشند. صکوک پرتفوی سرمایه­ گذاران را تنوع می­بخشد و فرصت­های سرمایه ­گذاری در دارایی جدید را ارائه می­دهد، و از طرفی ناشران می­ توانند از نقدینگی فزآینده حاصل از تقاضای در حال رشد در میان شمار زیادی از سرمایه­ گذاران نهادی و فردی برای ابزارهای سرمایه ­گذاری سازگار با شریعت، منتفع گردند. هدف اصلی این پژوهش تحلیل مقایسه­ای تاثیر توسعه بازار صکوک بر سودآوری بانک­ها در بانک­های اسلامی و متعارف است. برای دستیابی به هدف فوق، اطلاعات 15 کشور در حوزه خلیج فارس در بازه زمانی 2014 تا 2021 مورد بررسی قرار گرفت. برای آزمون فرضیه‌های پژوهش، از روش رگرسیون چندمتغیره به روش داده‌های ترکیبی استفاده‌ شده است. نتایج حاصل از پژوهش نشان داد توسعه‌ی بازار صکوک سودآوری بانک‌های اسلامی را افزایش می­دهد. همچنین، نتایج نشان داد که توسعه‌ی بازار صکوک تاثیری بر سودآوری بانک­های متعارف ندارد. علاوه بر این نتایج نشان داد بحران کووید 19 تاثیر توسعه بازار صکوک بر سودآوری بانک­های اسلامی و متعارف را تعدیل نمی‌کند
","کلیدواژه‌ها: بازار مالی, بحران مالی, نظام بانکی",مقالات آماده انتشار,مقالات آماده انتشار,https://ecor.modares.ac.ir/article-18-70368-fa.html
نقش سوگیری‌های شناختی در سیاست‌گذاری تغییر اقلیم با استفاده از نظریه‌های اقتصاد رفتاری,"
در سال‌های اخیر، آسیب‌پذیری در برابر تغییرات اقلیمی به یک موضوع مهم برای سیاست‌گذاران تبدیل شده است. این وضعیت اضطراری نیاز به اقدامات فوری، گسترده و همه‌جانبه دارد. این مقاله به دنبال ایجاد پلی بین مداخلات و سیاست‌گذاری اقلیمی، و حوزه علوم رفتاری به‌ عنوان یک مسیر عملی، کم‌هزینه و با اثربخشی بالا و در قالب نظریه تلنگر است. دراین راستا بررسی می‌شود که چگونه مداخلات رفتاری که ریشه در سوگیری‌هایی نظیر سوگیری زیان‌گریزی، تنزیل هذلولی و اثر قالب‌بندی دارد، باعث می‌شود که افراد به انتخاب‌های سازگارتر با محیط‌زیست و مسئله تغییرات اقلیمی ترغیب شوند. بسیاری از تحقیقات نشان داده‌اند که اثر قالب‌بندی با ادغام در دیگر سوگیری‌های شناختی به طور گسترده‌ای برای مطالعه رفتار محیط زیستی به عنوان یک سیاست کم هزینه استفاده شده است. در این مقاله با یک روش نیمه‌آزمایشی نشانداده می‌شود که چگونه قالب‌بندی اطلاعات (قالب‌بندی انتفاع و ضرر و سوگیری تنزیل هذلولی، همچنین قالب‌بندی اطلاعات گسترده و پیوسته) بر نگرش و درک کلی افراد از تغییرات اقلیمی اثر می‌گذارد. نتایج نشان می‌دهد که شدت درک اثرات تغییرات اقلیمی و تمایل تغییر رفتار، تحت قالب‌هایی که بیان‌گر زیان در زمان حال هستند، به طور قابل توجهی بیشتر از قالب انتفاع و آینده بوده است. علاوه بر این، قالب اطلاعات گسترده و پیوسته نیز تاثیر چشم‌گیری در متغیرهای بینشی و رفتاری افراد داشته است. بر اساس یافته‌های این پژوهش، سیاست‌گذاران حوزه تغییرات اقلیمی می‌توانند از اطلاعات قالب‌هایی که تداعی کننده زیان در زمان حال است و همچنین قالب‌های با اطلاعات گسترده و پیوسته برای ارتقای نگرش و تمایل عمومی برای مشارکت در مقابله با اثرات تغییرات اقلیمی استفاده کنند
","تغییرات اقلیمی, اقتصاد رفتاری, سوگیری شناختی, تلنگر, سوگیری تنزیل هذلولی, سوگیری زیان‌گریزی, اثر قالب‌بندی",مقالات آماده انتشار,مقالات آماده انتشار,https://ecor.modares.ac.ir/article-18-71308-fa.html
اثر تحریم‌های اقتصادی بر عرضه و تقاضای مسکن از کانال نرخ ارز,"
تحریم¬های اقتصادی با ایجاد مانع برای بخش خارجی، فضای نابسامان و آشفته در اقتصاد، موجب تغییر در نرخ ارز و درپی آن تغییر در متغیرهای دیگر از جمله عرضه و تقاضای مسکن می¬شوند. از این¬رو هدف این پژوهش، بررسی اثرگذاری تحریم¬های اقتصادی بر عرضه و تقاضای مسکن از کانال نرخ ارز می¬باشد. برای این منظور از داده¬های فصلی استانی دوره 1400-1390 و برای تجزیه و تحلیل داده¬ها از مدل رگرسیون به ظاهر نامرتبط (SUR) استفاده شده است. یافته¬های این پژوهش نشان می¬دهد تولید ناخالص داخلی استانی، قیمت مسکن، تورم بر تقاضا اثر مثبت داشته¬اند. متغیرهای شاخص بورس، نرخ ارز و تحریم، بر تقاضای مسکن اثر منفی داشته-اند. در طرف عرضه نیز متغیرهای قیمت مسکن، تعدادپروانه¬های ساختمانی صادرشده و تورم بر عرضه مسکن اثر مثبت و نرخ ارز، تحریم و قیمت مصالح ساختمانی برعرضه مسکن اثر منفی داشته¬اند. واردات و تحریم، نرخ ارز را افزایش و صادرات، نرخ ارز را کاهش داده است. بر این پایه تحریم هم اثر مستقیم و هم از مسیر نرخ ارز اثر غیر مستقیم بر کاهش عرضه و تقاضای مسکن داشته است
","تحریم‌های اقتصادی, عرضه مسکن, تقاضای مسکن, نرخ ارز, ایران",مقالات آماده انتشار,مقالات آماده انتشار,https://ecor.modares.ac.ir/article-18-71131-fa.html
تحلیل وابستگی ساختاری بین بازارهای رمزارز و بورس اوراق بهادار تهران: رویکرد ترکیبی تجزیه مود متغیر و کاپولا (VMD- Copula),"
هدف اصلی این مطالعه، بررسی وابستگی ساختاری بین بازدهی بازارهای رمزارز و  شاخص بورس اوراق بهادار تهران با استفاده از داده­های روزانه  طی دوره 8 آگوست 2015 تا 21 فوریه 2023 است. این مطالعه روش تجزیه حالت متغیر (VMD) و انواع مختلف توابع کاپولای متقارن و نامتقارن را برای بررسی ساختار وابستگی بین بازارهای رمزارز و شاخص بورس در افق‌های متفاوت سرمایه‌گذاری ترکیب می‌کند. در مدل­سازی توزیع‌های حاشیه‌ای از الگوهای FIGARCH-GED استفاده شده است. نتایج مطالعه حاکی از آن است که بین بازدهی رمزارز بیت‌کوین و شاخص بورس  ایران با استفاده از تابع کاپولای ارشمیدسی هیچگونه وابستگی ساختاری چه در کوتاه‌مدت و چه در بلندمدت وجود ندارد. نتیجه بیانگر این است که بازار رمزارزها از طبقه اصلی دارایی‌های مالی و اقتصادی جدا شده‌اند و مزایای متنوعی را برای سرمایه‌گذاران ارائه می‌دهند. همچنین از توابع (CVine-Copula)  که در ادبیات مالی یکی از کاراترین روش‌های بررسی ساختار وابستگی می‌باشد، استفاده شده است. وابستگی ساختاری با استفاده از توابع کاپولای واین به نسبت توابع کاپولای ارشمیدسی توانایی بهتری در شناسایی وابستگی ساختاری بین بازدهی رمزارزها و شاخص‌ بورس در ایران دارد. بر اساس یافته‌های تحقیق، بین بازدهی رمزارز بیت‌کوین و شاخص سهام به شرط رشد قیمت رمزارز اتریوم، کاپولای کلایتون به عنوان مدل مناسب توضیح دهنده‌ی همبستگی انتخاب شده است  که بیانگر اثرات نامتقارن بوده و وابستگی بیشتری در دنباله چپ وجود دارد. یافته‌های مطالعه نشان‌دهنده نقش مهم رمزارزها در سبد سرمایه‌گذاران است، زیرا به عنوان یک گزینه متنوع برای سرمایه‌گذاران عمل می‌کنند و یک طبقه دارایی سرمایه‌گذاری جدید هستند.
","بازار رمزارزها, تجزیه مود متغیر, توابع کاپولا, شاخص سهام, وابستگی ساختاری",مقالات آماده انتشار,مقالات آماده انتشار,https://ecor.modares.ac.ir/article-18-17686-fa.html
تحلیل اثر مورفولوژی شهری بر تقاضای حمل‌ونقل شهری با تأکید بر شکل شبکه معابر شهری(مطالعه موردی شهر اصفهان),"
در سال‌های اخیر رشد روزافزون جمعیت و افزایش استفاده از حمل‌ونقل شخصی و سفرهای روزانه، مشکلات فراوانی در حوزه جابجایی از جمله مصرف بالای سوخت، آلودگی هوا، سر و صدا، تراکم بالای خیابان‌ها، کاهش فعالیت بدنی و غیره به‌وجود آورده است. در بسیاری از کلانشهرها طی دهه‌های گذشته افزایش ناگهانی وسایل نقلیه موتوری موجب ترافیک‌های سنگین خیابانی در سفرهای درون‌شهری شده است و علت اصلی آن را می‌توان ضعف روابط بین مورفولوژی شهری و حمل‌ونقل، به عبارت دیگر شکل‌های شهری پیاده‌گریز و تشویق‌کننده سفرهای موتوری دانست. از آنجایی که مورفولوژی شهری اثر قابل توجهی بر حمل‌ونقل شهری دارد، نحوه ایجاد یک رابطه قوی بین مورفولوژی شهری و حالت‌های سفر علاقه‌های بسیاری را به خود جلب کرده است، با در نظر گرفتن این ضرورت، در پژوهش حاضر اثر مورفولوژی شهری بر تقاضای حمل‌ونقل شهری در شهر اصفهان  ارائه خواهد شد. در این پژوهش با استفاده از نرم‌افزار Eviews و مدل رگرسیون خطی چند متغیره و روش حداقل مربعات وزنی، اثر متغیرهای مورفولوژی شهری، بر متغیر تقاضای سفر شهری مورد بررسی قرار گرفت. نتایج پژوهش نشان می‌دهد که هر چه در نواحی میانگین عرض معابر افزایش می‌یابد، ساکنان نواحی کمتر از حمل‌ونقل عمومی و بیشتر از حمل‌ونقل شخصی جهت سفرهای روزانه خود استفاده خواهند کرد. همچنین یافته‌های پژوهش نشان می‌دهد که با افزایش شاخص اتصال سفرهای حمل‌ونقل شخصی افزایش می‌یابد و با افزایش تراکم کلی مسکونی و کاهش پراکندگی، ساکنان نواحی ترجیح می‌دهند از وسایل نقلیه عمومی استفاده کنند.
","حالت‌های سفر, شبکه معابر, شهر اصفهان, مورفولوژی شهری",مقالات آماده انتشار,مقالات آماده انتشار,https://ecor.modares.ac.ir/article-18-70042-fa.html
