Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
"تأثیر کووید-19 بر آسیب‌پذیری اقتصادی کشورها با سطوح درآمدی مختلف: رویکرد رگرسیون انتقال ملایم پانلی
همه‌گیری, کووید-19, آسیب‌پذیری اقتصادی, مدل انتقال ملایم پانلی, سطوح درآمدی","بررسی تأثیر لایه‌های نظام تأمین اجتماعی بر عدالت اقتصادی-اسلامی با تأکید بر تکافل
اقتصاد ایران, تأمین اجتماعی, تکافل, روش گشتاورهای تعمیم‌یافته, نابرابری اقتصادی","تحلیل عوامل رفتاری و غیررفتاری مؤثر بر قیمت مسکن و تورم در ایران
اقتصاد رفتاری, اقتصاد مسکن, قیمت مسکن, تورم","بررسی تأثیر اشتغال در بخش خدمات بر نابرابری درآمدی در استان‌های ایران
نابرابری درآمدی, ضریب جینی, اشتغال در بخش خدمات, توزیع ناعادلانه, استان‌های ایران","تخمین سهم عوامل موثر بر سوءتخصیص سرمایه: شواهدی از کارگاه‌های صنعتی در اقتصاد ایران
اقتصاد ایران, سوءتخصیص, سرمایه‌ی فیزیکی, کارگاه‌های صنعتی","بررسی تأثیر بلایای طبیعی بر امنیت انرژی در ایران
امنیت انرژی, بلایای طبیعی, حداقل مربعات کاملاً اصلاح شده"
"همبستگی اقتصاد، انرژی و محیط زیست(3E) در کشورهای منتخب آسیایی: کاربردی از الگوی معادلات همزمان فضایی پانل
رشد اقتصادی, انتشار دی اکسید کربن, مصرف انرژی, معادلات همزمان, الگوی فضایی","تاثیر فناوری اطلاعات و ارتباطات بر ردپای اکولوژیکی در کشورهای صادرکننده نفت
فناوری اطلاعات و ارتباطات (ICT), ردپای اکولوژیکی سرانه, تولید ناخالص داخلی سرانه, شاخص پیچیدگی اقتصادی, روش گشتاورهای تعمیم یافته","کاربرد رهیافت مارکوف- سوئیچینگ در بررسی فرضیه‌های رشد واردات – تولید و رشد صادرات – تولید در ایران
رشد واردات – تولید, رشد صادرات - تولید, علیت غیرخطی, رویکرد غیرخطی MS-VAR","حساسیت اضافی و توسعه مالی: مطالعه موردی خانوارها در ایران
حساسیت اضافی مصرف, شمول مالی, محدودیت نقدینگی, هموارسازی مصرف","بررسی نحوه اثرگذاری اجزای منابع نقدینگی در اقتصاد ایران: رهیافت DSGE
الگوی تعادل عمومی پویای تصادفی, سیاست‌های پولی, مکانیسم انتقال پولی, منابع نقدینگی","طراحی یک الگوی هشدار بحران ارزی برای اقتصاد ایران رویکرد پروبیت
بحران ارزی, سیستم هشدار زودهنگام, الگوی پروبیت"
"ریسک تغییرات اقلیمی، عملکرد تغییر اقلیم و ارزش‌افزوده بخش کشاورزی
ارزش‌افزوده بخش کشاورزی, ریسک تغییرات اقلیم, شاخص عملکرد تغییر اقلیم, روش رگرسیون چندکی","ارائۀ مدل سیستمی یکپارچه توسعۀ پایدار منطقۀ‌ خراسان رضوی
توسعۀ پایدار, پویایی‌شناسی سیستم‌ها","بررسی اثرات انتشار ارز دیجیتال ملی بر سیاست‌های پولی ایران با استفاده از روش پویایی سیستم
ارز دیجیتال ملی, پویایی سیستم, سیاست‌های پولی","مطالعه تطبیقی روش‌های مختلف تعیین توان اشتغال‌زایی بخش‌های اقتصادی: مطالعه موردی اقتصاد ایران
جدول داده-ستانده (IO), توان اشتغال زایی, روش سنتی, روش حذف فرضی ملر و مارفان, روش اصلاح‌شده حذف فرضی ملر و مارفان","بررسی رابطه بیکاری با جرم و جنایت در شهرستان‌های ایران: رهیافت اقتصادسنجی فضایی
اقتصاد شهری, جرم و جنایت, بیکاری, اقتصادسنجی فضایی, ایران","بررسی رابطه سرمایه‌گذاری مستقیم خارجی و جرایم خشن: شواهدی از استان‌های ایران
سرمایه‌گذاری مستقیم خارجی, پنل دیتا, جرم"
"تحلیل مقایسه‌ای تاثیر توسعه بازار صکوک بر سودآوری بانک-ها در بانک‌های اسلامی و متعارف
کلیدواژه‌ها: بازار مالی, بحران مالی, نظام بانکی","شواهد جدیدی از تأثیر جهانی‌شدن بر فساد: کاربردی از مدل انتقال ملایم آستانه‌ای پانلی
: جهانی‌شدن, فساد, مدل انتقال ملایم آستانه‌ای پانلی, کشورهای عضو سازمان کنفرانس اسلامی","برآورد عرضه و تقاضای نیروی کار تا سال 1430 در ایران
پیش بینی, عرضه نیروی کار, تقاضای نیروی کار, نرخ مشارکت, جمعیت","نقش صندوق های سرمایه گذاری در رشد اقتصادی ایران
صندوق سرمایه گذاری, بازار سرمایه, رشد اقتصادی, بازار اولیه, مدل گشتاور های تعمیم یافته (GMM)","ارتباط بین سرمایه انسانی، رشد اقتصادی و کیفیت زیست‌محیطی با تأکید بر مخارج آموزش عمومی: کاربردی از الگوهای DSGE
آلودگی هوا, الگوی رشد درون‌زا, رویکرد بیزین, کارایی انرژی","واکاوی اثرات نامتقارن ریسک سیاسی، نرخ ارز و نرخ تورم  بر توسعه صنعت گردشگری در ایران
صنعت گردشگری, ریسک سیاسی, نرح ارز, نرخ تورم, QARDL, NARDL"
"نقش سوگیری‌های شناختی در سیاست‌گذاری تغییر اقلیم با استفاده از نظریه‌های اقتصاد رفتاری
تغییرات اقلیمی, اقتصاد رفتاری, سوگیری شناختی, تلنگر, سوگیری تنزیل هذلولی, سوگیری زیان‌گریزی, اثر قالب‌بندی","مطالعۀ تطبیقی مداخلات ارزی در ایران، مکزیک و ترکیه
تابع واکنش بانک مرکزی, سیاست ارزی ایران, سیاست ارزی ترکیه, سیاست ارزی مکزیک","تحلیل اثر شاخص کارآفرینی بر اشتغال در استان‌های ایران: رهیافت اقتصادسنجی فضایی
کارآفرینی, اشتغال, اثرات فضایی, استان‌های ایران","بررسی تأثیر اعمال مالیات بر خدمات مالی بر رشد اقتصادی در ایران
خدمات مالی, رشد اقتصادی, رفاه اجتماعی, مالیات, مدل تعادل عمومی قابل محاسبه","رانت منابع طبیعی و توسعه مالی: آزمون فرضیه نفرین منابع مالی در ایران
الگوهای خودتوزیع با وقفه های گسترده خطی(ARDL) و غیر خطی(NARDL), نفرین منابع مالی, توسعه مالی, رانت منابع","بررسی تأثیر پیچیدگی اقتصادی و ردپای اکولوژیکی بر رشد اقتصادی کشورهای اوپک
پیچیدگی اقتصادی, ردپای اکولوژیکی, رشد اقتصادی, کشورهای اوپک, روش گشتاورهای تعمیم‌یافته"
"اثر تحریم‌های اقتصادی بر عرضه و تقاضای مسکن از کانال نرخ ارز
تحریم‌های اقتصادی, عرضه مسکن, تقاضای مسکن, نرخ ارز, ایران","تبیین رابطه غیرخطی بین خلق پول و حاکمیت قانون با رویکرد آستانه‌ای (PSTR)
خلق پول, حاکمیت قانون, کیفیت مقررات, مدل رویکرد آستانه‌ای پانل","تأثیر تجارت خارجی بر تغییرات بهره‌وری نیروی کار در ایران: یک تحلیل داده-ستانده
بهره‌وری نیروی کار, تحلیل داده-ستانده, تحلیل تجزیه ساختاری, تجارت خارجی","ارزیابی تغییرات ساختاری و نابرابری های منطقه ای در استان های ایران
تغییرات سا ختاری, نابرابری, هکشر- اوهلین, مزیت نسبی","بررسی اثر معافیت‌های مالیاتی بر روی مخارج تحقیق و توسعه در ایران
ارزیابی سیاست, مشوقهای مالیاتی, تحقیق و توسعه, مدلهای رگرسیون کسری, سیاست مالی","برآورد سهم کانال نرخ ارز در اثرگذاری حجم تجارت خارجی بر رشد اقتصادی و تورم در ایران
تجارت خارجی, نرخ ارز, رشد اقتصادی, تورم"
"تحلیل وابستگی ساختاری بین بازارهای رمزارز و بورس اوراق بهادار تهران: رویکرد ترکیبی تجزیه مود متغیر و کاپولا (VMD- Copula)
بازار رمزارزها, تجزیه مود متغیر, توابع کاپولا, شاخص سهام, وابستگی ساختاری","اقتصاد سیاسی تغییرات لایحۀ بودجه (اعتبارات تملک دارایی‌های سرمایه‌ای) در مجلس شورای اسلامی
: بودجه, بودجه‌ریزی, بودجه تملک دارایی‌های سرمایه‌ای, بشکه گوشت خوک","بررسی اثر شاخص پیچیدگی اقتصادی بر سطح تولید ناخالص داخلی ایران
شاخص پیچیدگی اقتصادی, تولید ناخالص داخلی, تئوری O-ring, روش خودرگرسیون برداری بیزین (BVAR)","تأثیرات اقتصادی تحریم های مالی بر اقتصاد ایران
تحریم  های مالی, مدل ور بیزی (خود رگرسیون برداری بیزی), تابع پیشین جستجوی تصادفی انتخاب متغیر در مدل  های خود رگرسیون برداری, متغیرهای کلان اقتصادی","محدودیت‌های نهادی و تأثیر آن در صادرات کالاهای زیست‌محیطی کشورهای در حال توسعه
صادرات, مقررات زیست‌محیطی, حاکمیت قانون, کیفیت مقررات, کشورهای در حال توسعه, کالاهای مدیریت کننده آلودگی","تأمین ‌مالی زیرساخت‌های شهری در کلان‌شهرهای ایران با تأکید بر اندازۀ شهر: مطالعۀ موردی کلان‌شهر اصفهان
مالیات محلی, عوارض شهروندی, اندازۀ بهینۀ شهر, کلان‌شهرهای ایران"
"تحلیل اثر مورفولوژی شهری بر تقاضای حمل‌ونقل شهری با تأکید بر شکل شبکه معابر شهری(مطالعه موردی شهر اصفهان)
حالت‌های سفر, شبکه معابر, شهر اصفهان, مورفولوژی شهری","کلید حل معمای فسادمالی: جنسیت، دولت، ادیان و تأثیر آنها بر هم
فسادمالی, پولشویی, جنسیت, ادیان, دولت","تحلیل عوامل مؤثر بر رشد اقتصادی ایران با تأکید بر توان خانوار در مواجهه با ریسک (رویکرد رگرسیون انتقال ملایم)
رشد اقتصادی, توان خانوار در مواجهه با ریسک, کمک‌های رسمی توسعه‌ای, باز بودن تجاری, تحلیل مؤلفه‌های اصلی, رگرسیون انتقال ملایم","بررسی تأثیر توسعه مالی و ثبات مالی بر رشد اقتصادی ایران با استفاده از رهیافت گشتاورهای تعمیم یافته
توسعه مالی, بی ثباتی مالی, رشد اقتصادی, گشتاورتعمیم یافته, سری زمانی","هدفمندسازی در شرایط اطلاعات ناقص و محدودیت بودجه: مطالعه موردی خانوارهای روستایی ایران
هدفمندسازی یارانه‌ها, خانوارهای روستایی, اطلاعات ناقص و محدودیت بودجه, روش بهینه‌سازی عددی","مدل‌سازی اقتصادی شبکه تبادل برق ایران و همسایگان غربی با استفاده از رویکرد بهینه‌یابی
مدل‌سازی اقتصادی, بازار برق, شبکه تبادل برق, یکپارچگی منطقه‌ای, ایران و همسایگان غربی"
"پیدایش مناطق اقتصادی بین‌المللی در راستای انسجام اقتصاد جهانی
تجارت بین‌المللی, مناطق اقتصادی, نظریه وابستگی به منابع, نظریه شبکه پیچیده","اثر شاخص تمرکز بر سودآوری سیستم بانکی کشورهای عضو سازمان همکاری اسلامی
سیستم بانکی, سودآوری بانک, مدیریت ریسک, شاخص تمرکز","تحلیل و بررسی تأثیر خصوصی‌سازی بر آلودگی محیط ‌زیست در ایران: کاربرد روش TVP-VAR
خصوصی‌سازی, آلودگی محیط‌زیست, روش خود رگرسیون برداری با پارامترهای قابل تغییر طی زمان, ایران","تمرکززدایی مالی تعادل عمودی و توسعه منطقه ای در ایران (مطالعه موردی: استان های ایران)
توسعه منطقه ای, شاخص CIRD, تمرکززدایی مالی, روش تحلیل مؤلفه  اصلی دو مرحله ای (PCA) و روش حداقل مربعات دو مرحله ای با جزء خطا (EC2SLS)","برآورد شاخص آسیب‌پذیری برده‌داری نوین در کشور ایران به تفکیک مناطق شهری و روستایی به روش فازی
برده‌داری, آسیب‌پذیری, کار اجباری, ازدواج اجباری, منطق فازی","بررسی تأثیر پیچیدگی اقتصادی و مصرف انرژی تجدیدپذیر برآلودگی های زیست محیطی در کشورهای در حال توسعه
پیچیدگی اقتصادی, مصرف انرژی تجدیدپذیر, انتشار دی اکسید کربن, آلودگی زیست محیطی, کشورهای در حال توسعه"
"تأثیر آستانه‌ای عوامل مؤثر بر نسبت چشم‌پوشی با تأکید بر بدهی دولت
نسبت چشم‌پوشی, بدهی دولت, هدف‌گذاری تورم, شفافیت سیاست‌های پولی, مدل رگرسیون انتقال ملایم","شاخص ترکیبی جامع آسیب پذیری و تاب آوری در گروه کشورهای منتخب (G7  و MENA)  با رویکرد نظریه گراف
آسیب‌پذیری و تاب‌آوری اقتصادی, توسعه پایدار, نظریه گراف, الگوریتم تارجان, شاخص ترکیبی","بررسی تأثیر سرمایه‌گذاری مستقیم خارجی و نرخ ارز بر گردشگری در ایران: شواهدی از رویکرد  NARDL
گردشگری, سرمایه‌گذاری مستقیم خارجی, نرخ ارز, روش خودرگرسیونی با وقفه‌های توزیعی غیرخطی","سرمایه انسانی و پیچیدگی اقتصاد در ایران
سرمایه انسانی, دانش, پیچیدگی اقتصادی, اقتصاد ایران","عوامل تأثیرگذار بر سرعت همگرایی شاخص فلاکت در استان‌های ایران طی دوره 1399-1385
همگرایی, شاخص فلاکت, اقتصادسنجی فضایی, بی انضباطی پولی","تأثیر شوک‌های قیمت نفت بر مؤلفه‌های بازار کار
شوک‌های قیمت نفت, نرخ یافتن شغل, نرخ ورود به بیکاری"
